,SVM
309,0.6781194800524815
310,0.6827427793764453
311,0.738871728670939
312,0.6144159982320946
313,0.7046810227245367
314,0.74370834918568
315,0.6799894674788756
316,0.6609493797871299
317,0.5808144799741254
318,0.7599035610681455
319,0.7886794926187535
320,0.7813836505792647
321,0.46168293867238486
322,0.21224962296511057
323,0.009808544468514637
324,0.5419380517474319
325,0.0012644051297811545
326,0.6067047977959796
327,0.12525479046416615
328,0.2702735278469112
329,0.13359362952097015
330,0.5393034589067349
331,0.4727356001055117
332,0.6650060081489659
333,0.19275771234782912
334,0.7148320528748818
335,0.6341527729082868
336,0.5769234571200172
337,0.5604347272742305
338,0.7591581628982762
339,0.6910876741356445
340,0.7535522243676325
341,0.5434642614742772
342,0.6130392962185345
343,0.7540530911642789
344,0.5266456357423239
345,0.6631497837846551
346,0.7024846576314185
347,0.4145318204155669
348,0.6906781398567697
349,0.7391517776703894
350,0.806261868349811
351,0.7306273384263317
352,0.7143214898865052
353,0.40558236549310517
354,0.7257621588065507
355,0.652249115152171
356,0.7856255440341573
357,0.6713437588962285
358,0.6334254351865248
359,0.5959017130915328
360,0.7210872294260849
361,0.7176106833486051
362,0.5610897240023424
363,0.02763990830043614
364,0.48274110669145354
365,0.5802742391121487
366,0.40611141635454173
367,0.5548651701133285
368,0.5940171732966918
369,0.46220717604088946
370,0.2132641626043514
371,0.4482236308371768
372,0.5331028595326255
373,0.4904035119262683
374,0.33033073730985674
375,0.16948168269445477
376,0.6639723137283314
377,0.31731980251884656
378,0.7262093391839733
379,0.7377240701393458
380,0.3460193870858345
381,0.7371663218507326
382,0.6024825762493172
383,0.7066710622915705
384,0.7026018802565783
385,0.6382698202276645
386,0.5473215750477319
387,0.49274936788197504
388,0.671970097600127
389,0.7598352750077951
390,0.7866843916256132
391,0.6496131897659003
392,0.7613571601467353
393,0.6307055507833864
394,0.70240084779849
395,0.6615469284824417
396,0.621574758967436
397,0.6721633065097701
398,0.5933009194329265
399,0.6429317977540431
400,0.7570346486319849
401,0.620536596345461
402,0.4572401140224377
403,0.437136835287768
404,0.412522018634095
405,0.2203627488082949
406,0.552582714787224
407,0.566320309885871
408,0.2810753281622291
409,0.32797786624109465
410,0.0954823236846876
411,0.10056967545467649
412,0.5101403488059993
413,0.27689296653267026
414,0.1497179624516279
415,0.16839790297865312
416,0.04284598216497587
417,0.6467898754173959
418,0.8514347057360376
419,0.6390071418438488
420,0.1772060453003438
421,0.48403526955203585
422,0.7937351024850792
423,0.7071320400021596
424,0.702739309003273
425,0.6017196403919726
426,0.6580018606280137
427,0.628735677539686
428,0.6958998572885657
429,0.616793567097793
430,0.7324142457557479
431,0.7744270538175876
432,0.7688595598442051
433,0.7218365246446445
434,0.6146027250379561
435,0.6761900958479053
436,0.6482545292854609
437,0.6014680703813011
438,0.6690602808599896
439,0.6666075949602389
440,0.656793054219741
441,0.5683519508583961
442,0.7393695312953026
443,0.37438414906145695
444,0.046383215104843736
445,0.48052004317157765
446,0.5735276940527607
447,0.5634864639152477
448,0.3910446341390128
