,Logistic_Regression
606,0.5921557029336922
607,0.290662426907061
608,0.6315155701719195
609,0.41975729431053604
610,0.5987195125376058
611,0.15188607192211556
612,0.34331373481967337
613,0.5061601781234274
614,0.3744275903068053
615,0.5447171239785717
616,0.4883885226846975
617,0.6266963118886612
618,0.4004723820664973
619,0.319358321254987
620,0.5609187522827909
621,0.49986027558102925
622,0.6567614188380502
623,0.6730885023213241
624,0.5697342134744667
625,0.6702463260369524
626,0.6324231643556609
627,0.6471299993773104
628,0.6613587393862046
629,0.474588569710817
630,0.5003647183151533
631,0.6500033843898403
632,0.6220953734910892
633,0.6723792158010424
634,0.6960671954975777
635,0.6718881844857577
636,0.7215567392811373
637,0.6165179819631192
638,0.6454501308074303
639,0.6766543134699485
640,0.5457232893862694
641,0.5592371151924833
642,0.6172743364263412
643,0.5646285797200926
644,0.42151517858134013
645,0.7174339647553903
646,0.6567433672835398
647,0.5687572315419999
648,0.5456356527649787
649,0.563118243358395
650,0.605247243919779
651,0.464889379608721
652,0.5920110802764604
653,0.5208048795609567
654,0.16645085697536152
655,0.44952288841875687
656,0.4305867783287355
657,0.4309054566512148
658,0.07125313503798117
659,0.45389845708157023
660,0.38130945745770706
661,0.6680570256260254
662,0.43792119727804196
663,0.7012132200314718
664,0.6406739883858279
665,0.8492036980268662
666,0.603073087222188
667,0.7060430715802581
668,0.640332454182312
669,0.5744296391826984
670,0.6092324510578782
671,0.6203628830635648
672,0.646923060871227
673,0.5464751294023459
674,0.5404753324773716
675,0.6874393545140897
676,0.6811527461476712
677,0.6772167574190889
678,0.6940321360690662
679,0.6313408918003339
680,0.5880733498670353
681,0.5687308441930702
682,0.5860566470526575
683,0.6501950231815227
684,0.552762444953725
685,0.49407101966901235
686,0.6686978312999072
687,0.7112596418264356
688,0.347390802834897
689,0.6318097012013533
690,0.4548998528268631
691,0.6358647727296569
692,0.44601421524620094
693,0.46851101761074443
694,0.5605369390939531
695,0.27812104637945634
696,0.5493538151401529
697,0.4052954562435789
698,0.3557741097486686
699,0.42574483789162254
700,0.7009618855038177
701,0.5796687936815952
702,0.7156716826854141
703,0.5688329742821082
704,0.6939715499217315
705,0.594821662484945
706,0.6445193155188806
707,0.4483736863398938
708,0.6270594546761034
709,0.6262593867910702
710,0.5642434315359934
711,0.6070587418516675
712,0.5762437634935039
713,0.6074655383555975
714,0.7051425206579764
715,0.7112416944040268
716,0.6142247633578743
717,0.6743094632858427
718,0.5767872515200498
719,0.7366019149408809
720,0.5986715846817096
721,0.45929571105769057
722,0.5873540111997899
723,0.6220113040928062
724,0.5761154033631558
725,0.46028350333547136
726,0.6418855734442129
727,0.6971820673788443
728,0.6652855188804617
729,0.07570812841476475
730,0.6212478311749252
731,0.574474763439224
732,0.3771288530465036
733,0.29386808695555844
734,0.5074785445184807
735,0.6141719617662675
736,0.5041648610113555
737,0.06584415697375116
738,0.5711024073746699
739,0.32608684710806557
740,0.5956196609030835
741,0.45795747331056796
742,0.5340337701654295
743,0.48971996552176517
744,0.7183095964565289
745,0.6296263821275062
746,0.6592471664916352
747,0.7071852848593677
748,0.33820570840104763
749,0.6967635698326995
750,0.5448353770922834
751,0.6253112077385686
752,0.6194657611845888
753,0.5976647941504609
754,0.6419800336457194
755,0.7332775619892118
756,0.4992871723311261
757,0.7761830382071659
758,0.7227492325574874
759,0.6810413208694489
760,0.6816043468938867
