,KNN,Logistic_Regression,Random_Forest,SVM,Gradient_Boosting
140,0.4,0.5990244065095015,0.25,0.681742014933749,0.6444537349268344
141,0.4,0.69791154237608,0.2,0.6982615765209802,0.5931120914520196
142,0.4,0.7185739561898743,0.18,0.7289723164145054,0.6725588765379038
143,0.4,0.7029870048646883,0.3,0.7907677610195096,0.6915045266063574
144,0.2,0.706726273371653,0.21,0.7137740679373261,0.6514435568766086
145,0.8,0.7380493046557636,0.16,0.7859987996043689,0.7288698855048391
146,0.8,0.6372769618908082,0.26,0.6870140469001577,0.5863553495331612
147,0.4,0.6092999009704265,0.22,0.6008690574332657,0.597286819982527
148,0.4,0.5443366206260511,0.28,0.6162922868641628,0.6189473983475068
149,0.4,0.6573208958767759,0.21,0.7844730841886033,0.5820633352016895
150,0.4,0.564092480145607,0.25,0.5574590678386141,0.7421718597718131
151,0.6,0.6104219523693359,0.31,0.6724335826358585,0.6053134155949209
152,0.6,0.6161295916552979,0.22,0.6741046848657568,0.6222422008724136
153,0.6,0.7210711790850597,0.21,0.7538751598580049,0.4788863818000332
154,0.4,0.6049078378332541,0.2,0.646629207957932,0.4951130228426714
155,0.2,0.6906442463806977,0.29,0.7474532060077562,0.7971733063933271
156,0.6,0.6897762970173033,0.26,0.7183836917092953,0.70247129038584
157,0.4,0.6518348378685911,0.21,0.6773886971958574,0.5067997830063836
158,0.6,0.6022098669582755,0.19,0.6561999931268633,0.4852852096627154
159,0.4,0.6583683928131846,0.14,0.7140007799056278,0.4997171355093007
160,0.4,0.714375277137553,0.31,0.7631663846657868,0.6976548365136058
161,0.4,0.7084503856290748,0.25,0.7584887019230617,0.7117270362254396
162,0.8,0.6673942094512184,0.14,0.7107476503567579,0.43831420820681527
163,0.4,0.6097941799382489,0.2,0.6497459019631144,0.4293070009211176
164,0.8,0.7318198046659944,0.24,0.7663197046518153,0.7386074256172017
165,0.6,0.6057835797900629,0.19,0.6413805985718747,0.5285274209237045
166,0.6,0.6753275878056296,0.27,0.7111041611671387,0.5781866379303597
167,0.6,0.6322658163898679,0.22,0.6519114833999536,0.5974314759613439
168,0.0,0.7801521447632663,0.2,0.8982383515921346,0.8424097961984934
169,0.6,0.6842062977374911,0.26,0.6798716785507142,0.7868407855220383
170,0.4,0.7201353400554983,0.32,0.4611096285022692,0.9456293997035062
171,0.4,0.7467305543482539,0.3,0.6977625292712015,0.9703491113086711
172,0.4,0.7127277837014268,0.19,0.6876481506389892,0.670631940181292
173,0.6,0.7105038505484242,0.19,0.7975074780034956,0.48896777715155665
174,0.4,0.6386916844781005,0.22,0.6688885798963098,0.6662087170729595
175,0.6,0.6221390919757344,0.21,0.6510499038465183,0.6082703748790182
